ID,slot_id,contract,slot,user,pair,timeframe,source,predvalue,truevalue,stake,revenue,payout,timestamp,last_event_timestamp
0x3fb744c3702ff2237fc65f261046ead36656f3bc-1714872000-0x1cbc35de0c879a206df78968a07fb99f520e1319,0x3fb744c3702ff2237fc65f261046ead36656f3bc-1714872000,0x3fb744c3702ff2237fc65f261046ead36656f3bc,1714872000,0x1cbc35de0c879a206df78968a07fb99f520e1319,SOL/USDT,5m,binance,true,,244.73,,486.8891184885229,1714871511000,1714872150000
0x55c6c33514f80b51a1f1b63c8ba229feb132cedb-1714872000-0x6e0c1befd4ba42a296f68ac30382605c9d77cccc,0x55c6c33514f80b51a1f1b63c8ba229feb132cedb-1714872000,0x55c6c33514f80b51a1f1b63c8ba229feb132cedb,1714872000,0x6e0c1befd4ba42a296f68ac30382605c9d77cccc,XRP/USDT,5m,binance,true,,231.55,,0.0,1714871511000,1714872145000
0xbe09c6e3f2341a79f74898b8d68c4b5818a2d434-1714872000-0x37c82bf147d87ebe54fe0f3bf5271faa713121b5,0xbe09c6e3f2341a79f74898b8d68c4b5818a2d434-1714872000,0xbe09c6e3f2341a79f74898b8d68c4b5818a2d434,1714872000,0x37c82bf147d87ebe54fe0f3bf5271faa713121b5,DOGE/USDT,5m,binance,true,,247.08,,0.0,1714871517000,1714872150000
0xf28c94c55d8c5e1d70ca3a82744225a4f7570b30-1714872000-0xca1440ac2efe0891ca068f1133b1ee1c4fa5fc90,0xf28c94c55d8c5e1d70ca3a82744225a4f7570b30-1714872000,0xf28c94c55d8c5e1d70ca3a82744225a4f7570b30,1714872000,0xca1440ac2efe0891ca068f1133b1ee1c4fa5fc90,TRX/USDT,5m,binance,true,,234.34,,459.51883919088664,1714871517000,1714872156000
0x18f54cc21b7a2fdd011bea06bba7801b280e3151-1714872000-0xf7a0d37a9d016df6704fc965c421d52e294397b4,0x18f54cc21b7a2fdd011bea06bba7801b280e3151-1714872000,0x18f54cc21b7a2fdd011bea06bba7801b280e3151,1714872000,0xf7a0d37a9d016df6704fc965c421d52e294397b4,ADA/USDT,5m,binance,true,,3.0,,0.0,1714871641000,1714872203000
0x30f1c55e72fe105e4a1fbecdff3145fc14177695-1714872000-0xf830b2c2504d4c61927d116c288b0d154230bbc4,0x30f1c55e72fe105e4a1fbecdff3145fc14177695-1714872000,0x30f1c55e72fe105e4a1fbecdff3145fc14177695,1714872000,0xf830b2c2504d4c61927d116c288b0d154230bbc4,ETH/USDT,5m,binance,true,,3.0,,0.0,1714871641000,1714872209000
0x31fabe1fc9887af45b77c7d1e13c5133444ebfbd-1714872000-0x95546216d84fd764d89fe7a7841d50d661f90bb2,0x31fabe1fc9887af45b77c7d1e13c5133444ebfbd-1714872000,0x31fabe1fc9887af45b77c7d1e13c5133444ebfbd,1714872000,0x95546216d84fd764d89fe7a7841d50d661f90bb2,BNB/USDT,5m,binance,true,,3.0,,0.0,1714871641000,1714872215000
0x3fb744c3702ff2237fc65f261046ead36656f3bc-1714872000-0xf9d2f5a42d599f39cd52c3119085568795010dab,0x3fb744c3702ff2237fc65f261046ead36656f3bc-1714872000,0x3fb744c3702ff2237fc65f261046ead36656f3bc,1714872000,0xf9d2f5a42d599f39cd52c3119085568795010dab,SOL/USDT,5m,binance,true,,3.0,,5.968485087506921,1714871641000,1714872209000
0x55c6c33514f80b51a1f1b63c8ba229feb132cedb-1714872000-0x555e8de68d589d7495b5ed4bdf626f34968e8add,0x55c6c33514f80b51a1f1b63c8ba229feb132cedb-1714872000,0x55c6c33514f80b51a1f1b63c8ba229feb132cedb,1714872000,0x555e8de68d589d7495b5ed4bdf626f34968e8add,XRP/USDT,5m,binance,true,,3.0,,0.0,1714871641000,1714872215000
0x9c4a2406e5aa0f908d6e816e5318b9fc8a507e1f-1714872000-0x20d0eb8f700aeaf77ce38a390174d63b056f836e,0x9c4a2406e5aa0f908d6e816e5318b9fc8a507e1f-1714872000,0x9c4a2406e5aa0f908d6e816e5318b9fc8a507e1f,1714872000,0x20d0eb8f700aeaf77ce38a390174d63b056f836e,DOT/USDT,5m,binance,false,,3.0,,5.966533032533461,1714871641000,1714872220000
0xb1c55346023dee4d8b0d7b10049f0c8854823766-1714872000-0xd8f2f0ddb5bd7537d3a59a6b972d1560de8986f1,0xb1c55346023dee4d8b0d7b10049f0c8854823766-1714872000,0xb1c55346023dee4d8b0d7b10049f0c8854823766,1714872000,0xd8f2f0ddb5bd7537d3a59a6b972d1560de8986f1,LTC/USDT,5m,binance,true,,3.0,,5.82386156634505,1714871647000,1714872220000
0xbe09c6e3f2341a79f74898b8d68c4b5818a2d434-1714872000-0x305591e801de18fbd8ad9eab63a7d7783ceedcef,0xbe09c6e3f2341a79f74898b8d68c4b5818a2d434-1714872000,0xbe09c6e3f2341a79f74898b8d68c4b5818a2d434,1714872000,0x305591e801de18fbd8ad9eab63a7d7783ceedcef,DOGE/USDT,5m,binance,true,,3.0,,0.0,1714871647000,1714872220000
0x18f54cc21b7a2fdd011bea06bba7801b280e3151-1714872000-0x460fb37185e4504d2e6d282507e7552dc97c7356,0x18f54cc21b7a2fdd011bea06bba7801b280e3151-1714872000,0x18f54cc21b7a2fdd011bea06bba7801b280e3151,1714872000,0x460fb37185e4504d2e6d282507e7552dc97c7356,ADA/USDT,5m,binance,false,,22.0,,44.24434411886812,1714871653000,1714872145000
0x18f54cc21b7a2fdd011bea06bba7801b280e3151-1714872000-0xac82646af513586dbe301415e6df32ec71d95f04,0x18f54cc21b7a2fdd011bea06bba7801b280e3151-1714872000,0x18f54cc21b7a2fdd011bea06bba7801b280e3151,1714872000,0xac82646af513586dbe301415e6df32ec71d95f04,ADA/USDT,5m,binance,true,,22.0,,0.0,1714871653000,1714872145000
0x30f1c55e72fe105e4a1fbecdff3145fc14177695-1714872000-0x460fb37185e4504d2e6d282507e7552dc97c7356,0x30f1c55e72fe105e4a1fbecdff3145fc14177695-1714872000,0x30f1c55e72fe105e4a1fbecdff3145fc14177695,1714872000,0x460fb37185e4504d2e6d282507e7552dc97c7356,ETH/USDT,5m,binance,false,,22.0,,44.40635431169451,1714871653000,1714872145000
0x30f1c55e72fe105e4a1fbecdff3145fc14177695-1714872000-0xac82646af513586dbe301415e6df32ec71d95f04,0x30f1c55e72fe105e4a1fbecdff3145fc14177695-1714872000,0x30f1c55e72fe105e4a1fbecdff3145fc14177695,1714872000,0xac82646af513586dbe301415e6df32ec71d95f04,ETH/USDT,5m,binance,true,,22.0,,0.0,1714871653000,1714872145000
